"x","x_orig","fit","se","or","lo","hi","Spec","Bacteria","Variable","Variable_label"
-1.71532636193912,0.92184368737475,-0.0245931889125144,0.0697831386574816,0.97570675962981,0.850978733543903,1.11871618321492,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.70099813991622,1.02204408817635,-0.0224881327374899,0.0697362332924828,0.977762840492787,0.852850381142587,1.12097056340377,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.68666991789333,1.12224448897796,-0.0203948489191311,0.0696913771175045,0.979811719319276,0.854712650286714,1.12322077483392,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.67234169587044,1.22244488977956,-0.0183134515085806,0.0696479587487309,0.981853220745566,0.856566390369185,1.12546529717672,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.65801347384755,1.32264529058116,-0.0162440545569807,0.0696053727175307,0.983887168604396,0.858412449106925,1.12770261143288,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.64368525182466,1.42284569138277,-0.0141867721154735,0.0695630200346538,0.985913385936812,0.860251671399545,1.12993120139831,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.62935702980176,1.52304609218437,-0.0121417182352017,0.0695203087074933,0.987931695004307,0.862084898264806,1.13214955505958,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.61502880777887,1.62324649298597,-0.0101090069673077,0.0694766542121519,0.989941917301237,0.863912965849024,1.13435616592113,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.60070058575598,1.72344689378757,-0.00808875236293348,0.0694314799222821,0.991943873567507,0.865736704510093,1.13654953426621,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.58637236373309,1.82364729458918,-0.00608106847322164,0.0693842174968563,0.993937383801538,0.867556937970317,1.13872816835458,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.5720441417102,1.92384769539078,-0.00408606934931453,0.0693343072291809,0.995922267273511,0.869374482535914,1.14089058555987,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.55771591968731,2.02404809619238,-0.00210386904235448,0.0692811983595892,0.997898342538888,0.871190146379694,1.14303531345022,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.54338769766441,2.12424849699399,-0.000134581603483702,0.0692243493543503,0.999865427452214,0.873004728883158,1.14516089081575,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
-1.52905947564152,2.22444889779559,0.00182167891615526,0.0691632281533953,1.0018233391812,0.874819020034029,1.14726586864689,"PLS (main)","3GCR-Ec","Temperature","Temperature (°C)"
